,rmsd,date
0,590.7568893812629,2020-05-01
1,604.528825142237,2020-05-31
2,550.4793690891463,2020-04-03
3,545.5715965789802,2020-04-15
4,426.29152172285285,2020-03-25
5,470.8217939394358,2020-03-29
6,633.4462485433061,2020-05-29
7,515.6190365063563,2020-05-17
8,600.749275866217,2020-04-23
9,493.2081363765251,2020-03-22
10,641.4102692167902,2020-06-03
11,888.6839156716427,2020-03-04
12,591.4387674587258,2020-04-20
13,568.7085898241306,2020-05-14
14,686.0222633122743,2020-05-04
15,569.3519274238602,2020-04-07
16,878.8464133533014,2020-03-02
17,666.8875680730446,2020-06-06
18,556.9057256583214,2020-04-18
19,806.1699969796485,2020-03-17
20,475.5027555614946,2020-03-24
21,574.9087002622211,2020-04-17
22,540.0533726466075,2020-05-16
23,588.1392914249711,2020-05-27
24,526.4279367217056,2020-04-19
25,493.97218050999675,2020-04-05
26,866.8019218464625,2020-03-07
27,575.096691714862,2020-04-08
28,620.5708827184405,2020-05-22
29,952.6522849150501,2020-03-09
30,617.7332267594994,2020-05-25
31,617.709921305584,2020-05-18
32,524.5519135874282,2020-04-21
33,591.9329859991361,2020-04-25
34,574.8735328292099,2020-04-26
35,585.0042087575539,2020-05-20
36,668.4743870462273,2020-06-02
37,646.5984660181061,2020-05-07
38,514.2988919845033,2020-04-11
39,648.0599604665763,2020-05-11
40,618.8398793184363,2020-05-05
41,650.5193114791015,2020-04-29
42,509.0924873499717,2020-04-10
43,594.1248436509203,2020-05-26
44,773.3377113472776,2020-03-01
45,931.1676066150163,2020-03-06
46,496.54505992853444,2020-03-27
47,615.8117482966409,2020-05-30
48,560.4825976828078,2020-05-24
49,586.3422342937424,2020-04-09
50,721.3379467360536,2020-03-20
51,604.8809656689259,2020-05-03
52,578.308046184588,2020-05-13
53,635.0853484754577,2020-04-28
54,598.102293190981,2020-04-13
55,860.5377591144668,2020-03-03
56,508.3616430541448,2020-04-02
57,550.8050783612172,2020-04-06
58,516.7248822095426,2020-03-30
59,598.4459677758276,2020-05-19
60,586.2113715484624,2020-05-09
61,640.0725661937635,2020-03-21
62,601.4132829658492,2020-05-28
63,958.7958843334866,2020-03-16
64,578.2300532810204,2020-05-23
65,621.3464248093107,2020-05-06
66,557.983932807103,2020-04-14
67,546.3296614499932,2020-04-16
68,888.8236955221208,2020-03-11
69,635.1700478909356,2020-03-19
70,484.120318857295,2020-03-28
71,882.3083311472583,2020-03-14
72,978.2162428802502,2020-03-13
73,690.4288482131478,2020-06-01
74,511.6243991990444,2020-04-01
75,525.087770254367,2020-03-31
76,897.6185431913211,2020-03-12
77,878.8672718959825,2020-03-05
78,637.2561102669611,2020-06-04
79,771.5519550412836,2020-03-18
80,486.58679556882913,2020-03-26
81,639.1324158917531,2020-04-27
82,652.2375648365352,2020-05-21
83,620.729636953003,2020-04-24
84,630.0335365639893,2020-05-08
85,602.3127944888437,2020-05-12
86,691.8240521093406,2020-06-05
87,506.8592503242191,2020-03-23
88,490.5048565080129,2020-04-04
89,690.5816990159922,2020-04-30
90,549.577169306163,2020-04-12
91,595.3045643024062,2020-04-22
92,616.32779152041,2020-05-02
93,930.9483044177462,2020-03-15
94,897.8317223753154,2020-03-10
95,566.8316517523918,2020-05-10
96,584.4662924184591,2020-05-15
97,882.6275259493426,2020-03-08
